id,product,narrative,gpt_4o_prediction,time-gpt-4o,gpt_4o_mini_prediction,time-gpt-4o-mini,claude_3_5_sonnet_prediction,time-claude-3-5-sonnet-latest,claude_3_5_haiku_prediction,time-claude-3-5-haiku-latest,deepseek-chat_prediction,time-deepseek-chat,gemini-2.0-flash_prediction,time-gemini-2.0-flash,gemini-2.0-flash-lite_prediction,time-gemini-2.0-flash-lite,gemini-1.5-pro_prediction,time-gemini-1.5-pro,gemini-1.5-flash_prediction,time-gemini-1.5-flash,claude-3-7-sonnet_prediction,time-claude-3-7-sonnet-latest,gpt-4.5-preview_prediction,time-gpt-4.5-preview-2025-02-27,gpt-o1_prediction,time-o1-2024-12-17,gpt-o3-mini_prediction,time-o3-mini-2025-01-31,deepseek-reasoner_prediction,time-deepseek-reasoner
1,debt_collection,hi team visited doctor general checkup particular health issue doctor examined like examined way several doctor past provided insurance information also paid whatever requested counter month later someone random even recognize started calling asking pay test remember consented asking pay recently realized updated credit report charge small use responsible please help,credit_reporting,1.5135,credit_reporting,1.4377,credit_reporting,3.2997,credit_reporting,1.5691,credit_reporting,27.8102,credit_reporting,0.8441,credit_reporting,0.9582,credit_reporting,0.868,credit_reporting,0.6956,credit_reporting,0.8975,debt_collection,2.3218,debt_collection,12.9122,credit_reporting,2.368,debt_collection,30.8303
2,mortgages_and_loans,loan company arvest bank ar due pandemic unable maintain financial obligation due lost wage request grace period payment federal government suggested granted month time balance principal monthly payment breakdown dollar principal wich bring monthly payment wich problem grace period expired sended bill intrest nothing applied principal also told one manager bill aplied around dollar principal wich mean penalize another interest think unfair banking practice punishing government order stay home,mortgages_and_loans,0.8019,mortgages_and_loans,1.4658,mortgages_and_loans,2.4981,mortgages_and_loans,1.8189,mortgages_and_loans,23.5356,mortgages_and_loans,0.6426,mortgages_and_loans,0.6005,mortgages_and_loans,0.696,mortgages_and_loans,0.8101,mortgages_and_loans,0.7452,mortgages_and_loans,1.8403,mortgages_and_loans,3.8585,mortgages_and_loans,2.3284,mortgages_and_loans,18.669
3,mortgages_and_loans,home equity line credit transferred select portfolio servicing first statement select portfolio dated ever receive statement mid payment requested higher payment last nine year made six call select servicing regarding issue avail today informed working issue mortgage business fully aware guideline regarding loan transfer servicing mean able report delinquent value credit want error tarnish loss hope help thank,mortgages_and_loans,0.9115,mortgages_and_loans,0.7058,mortgages_and_loans,2.3404,mortgages_and_loans,1.3191,mortgages_and_loans,40.1418,mortgages_and_loans,0.7011,mortgages_and_loans,0.6809,mortgages_and_loans,0.7039,mortgages_and_loans,0.7203,mortgages_and_loans,0.8488,mortgages_and_loans,1.2081,mortgages_and_loans,4.2788,mortgages_and_loans,2.2308,mortgages_and_loans,30.1153
4,mortgages_and_loans,monthly interest around per month entire payment applied towards interest due date auto debit applied last payment interest need long drawn reply nelnet explaining simple interest want straight point answer spare write endless paragraph nonsense,mortgages_and_loans,1.012,mortgages_and_loans,0.7686,mortgages_and_loans,2.336,mortgages_and_loans,2.1403,mortgages_and_loans,60.0509,mortgages_and_loans,0.8041,mortgages_and_loans,0.5569,mortgages_and_loans,0.8041,mortgages_and_loans,0.7271,mortgages_and_loans,1.1465,mortgages_and_loans,1.2123,mortgages_and_loans,3.3612,mortgages_and_loans,3.0512,mortgages_and_loans,36.1704
5,debt_collection,belong tried contact several time ask proof ownership failed send necessary documentation prove really account,debt_collection,0.7077,credit_reporting,0.794,debt_collection,2.1872,debt_collection,1.8262,credit_reporting,49.3669,debt_collection,0.805,debt_collection,0.7228,debt_collection,0.9057,credit_reporting,0.6069,debt_collection,0.9079,debt_collection,1.5175,debt_collection,3.2222,debt_collection,13.2112,credit_reporting,40.9986
6,mortgages_and_loans,upside car loan santander consumer car note extremely high well im able refinance trade car due owing much also report incorrect information credit report never received paperwork pertaining information requested car going year still im sure could possible,mortgages_and_loans,0.7046,mortgages_and_loans,0.8088,mortgages_and_loans,2.8114,mortgages_and_loans,1.6084,mortgages_and_loans,5.4115,mortgages_and_loans,0.7743,mortgages_and_loans,0.6213,mortgages_and_loans,0.8378,mortgages_and_loans,0.6332,mortgages_and_loans,0.9133,mortgages_and_loans,1.827,mortgages_and_loans,3.1236,mortgages_and_loans,3.5452,mortgages_and_loans,20.8715
7,mortgages_and_loans,serious issue property escrow information serious issue late payment reported bureau credit history get response email certified mail send,mortgages_and_loans,0.8772,mortgages_and_loans,0.8086,mortgages_and_loans,2.653,mortgages_and_loans,1.9553,credit_reporting,59.7301,mortgages_and_loans,0.6329,mortgages_and_loans,0.7085,mortgages_and_loans,0.669,credit_reporting,0.7028,mortgages_and_loans,0.8124,mortgages_and_loans,1.5164,mortgages_and_loans,4.0003,credit_reporting,6.2007,credit_reporting,33.5555
8,debt_collection,received collection letter date regard bill amount never received bill creditor received another bill creditor paid checked insurance record show amount due im furious receive collection letter never receiving bill even owe amount,debt_collection,1.0521,debt_collection,0.7069,debt_collection,3.059,debt_collection,1.9361,debt_collection,29.4161,debt_collection,0.6768,debt_collection,0.608,debt_collection,0.7016,debt_collection,0.7011,debt_collection,0.872,debt_collection,1.8187,debt_collection,3.3934,debt_collection,2.0597,debt_collection,19.0046
9,retail_banking,want third party access pnc checking account purpose saving extra money pnc blocked access even enter username password,retail_banking,0.7059,retail_banking,0.7084,retail_banking,2.2444,retail_banking,1.7277,retail_banking,12.2494,retail_banking,0.7279,retail_banking,0.6866,retail_banking,0.6068,retail_banking,0.623,retail_banking,0.9057,retail_banking,1.508,retail_banking,2.9229,retail_banking,2.011,retail_banking,27.8323
10,credit_card,secured credit card organization first progress issued synovus bank organization strategically delayed payment processing due date order post late payment fee account,credit_card,0.8107,credit_card,0.7073,credit_card,2.4466,credit_card,2.4453,credit_card,4.8021,credit_card,0.7322,credit_card,0.5951,credit_card,0.7961,credit_card,0.6726,credit_card,0.9346,credit_card,1.6063,credit_card,2.5707,credit_card,3.0725,credit_card,31.1091
11,retail_banking,saying pnc isnt allowing verify acct,retail_banking,0.9137,retail_banking,0.9101,retail_banking,1.9337,retail_banking,1.7306,retail_banking,11.2137,retail_banking,2.119,retail_banking,0.5505,retail_banking,0.7106,retail_banking,0.6999,retail_banking,0.9802,retail_banking,1.6769,retail_banking,3.0537,retail_banking,3.3573,retail_banking,28.3437
12,credit_card,ca remember last time made payment synchrony financial credit card paypal make month afford make payment credit card would like forgive loan,credit_card,0.6061,credit_card,0.7074,credit_card,2.2551,credit_card,1.7303,credit_card,32.2383,credit_card,0.5956,credit_card,0.6551,credit_card,0.7953,credit_card,0.5978,credit_card,0.9663,credit_card,1.2527,credit_card,2.8421,credit_card,2.7467,credit_card,15.0307
13,mortgages_and_loans,sister bought car loan company paleside dollar payment one monthe car payment dollar upfront total date never missi payment month day late loan company repose car illegally asking money another six month payment advance many hidden try contract denied said bos owner become helpless didnt say thing u kow saying dont grace already harasing u verbally socially,mortgages_and_loans,0.8207,mortgages_and_loans,0.8075,mortgages_and_loans,2.2883,mortgages_and_loans,1.6739,mortgages_and_loans,48.998,mortgages_and_loans,0.6931,mortgages_and_loans,0.6322,mortgages_and_loans,0.6915,mortgages_and_loans,0.8031,mortgages_and_loans,0.9637,mortgages_and_loans,1.2538,mortgages_and_loans,3.9087,mortgages_and_loans,3.2556,mortgages_and_loans,32.2374
14,retail_banking,banking bank america many year first time happened change date squeeze fee charge draft fee draft protection fee ping pong im hundred dollar debt today unusual given draft fee literally thousand account changed order transaction date app support claim rude called complain shady banking robbery establishment need shut,retail_banking,0.6842,retail_banking,0.7081,retail_banking,2.5876,retail_banking,1.6687,retail_banking,12.1118,retail_banking,2.0324,retail_banking,0.5651,retail_banking,0.8121,retail_banking,0.6983,retail_banking,1.3963,retail_banking,1.4742,retail_banking,4.2699,retail_banking,2.8514,retail_banking,19.5405
15,retail_banking,could link bank account back around ca use app help save money smart way called pnc many word told bad using also secured credit card pnc wo let link bank account either pay credit card instead forced use card pay fee every single time pay credit card total say trying keep customer personal info secure know make money financial institution kahoots bunch greedy unfortunately financial institution also necessary evil way around deal,credit_card,0.682,credit_card,0.7076,retail_banking,3.164,retail_banking,1.9298,credit_card,24.3216,credit_card,0.7028,credit_card,0.7175,credit_card,0.812,retail_banking,0.8023,credit_card,0.804,credit_card,1.5514,credit_card,7.6266,credit_card,4.2055,credit_card,19.4362
16,retail_banking,td bank opened unauthorized account name used social address told cfpb closed account received account td bank today account clearly never closed td bank never sent confirmation closed account telling cfpb account closed,retail_banking,0.8459,retail_banking,0.705,retail_banking,2.6513,retail_banking,2.2148,retail_banking,5.4715,retail_banking,0.8077,retail_banking,0.6867,retail_banking,0.8968,retail_banking,0.5973,retail_banking,0.6988,retail_banking,1.4577,retail_banking,2.7324,retail_banking,5.0699,retail_banking,43.4984
17,credit_reporting,moneylion reporting account charge started another builder account paying fee said account charged twice lag serious time waited till debt another credit builder account,credit_reporting,0.6298,credit_reporting,0.6764,credit_reporting,2.287,credit_reporting,1.4974,credit_reporting,48.3042,credit_reporting,0.7003,credit_reporting,0.5987,credit_reporting,0.7198,credit_reporting,0.5964,credit_reporting,0.7629,credit_reporting,1.5227,mortgages_and_loans,11.6503,retail_banking,7.4551,credit_reporting,22.9231
18,retail_banking,received payment item sold via paypal amount shipped item delivered usps issue tracking provided additional status update indicates item transit already delivered paypal refusing release payment item marked delivered contacted usps provided letter indicating status showing system error change item fact delivered letter provided paypal acknowledged yet refuse release fund paypal transaction id,retail_banking,0.7958,retail_banking,0.7365,retail_banking,2.2953,credit_card,1.8012,retail_banking,5.7124,credit_card,0.6007,retail_banking,0.7079,retail_banking,0.6841,retail_banking,0.5614,retail_banking,0.6907,credit_card,1.736,retail_banking,6.4312,retail_banking,6.3271,retail_banking,80.5623
19,mortgages_and_loans,caliber home loan serviced loan know messed escrow account either paid property tax twice either took overage extra payment shortage year paying overage sold loan one explain negative escrow time dig file waste time eventually going pay mortgage never deal account caliber need investigated regarding servicing department know person dealt something fishy shady going either city mi caliber home loan,mortgages_and_loans,0.7158,mortgages_and_loans,0.9108,mortgages_and_loans,2.1394,mortgages_and_loans,1.6897,mortgages_and_loans,5.1061,mortgages_and_loans,1.0118,mortgages_and_loans,0.5718,mortgages_and_loans,0.8043,mortgages_and_loans,0.6331,mortgages_and_loans,0.7587,mortgages_and_loans,1.5965,mortgages_and_loans,2.4442,mortgages_and_loans,1.6219,mortgages_and_loans,49.0273
20,credit_reporting,authorize give consent account credit fraud want credit stressful experience victim identity theft would like matter resolved,credit_reporting,0.8122,credit_card,0.7065,credit_reporting,2.5217,credit_reporting,1.6298,credit_card,4.9056,credit_card,0.804,credit_reporting,0.6373,credit_card,0.7025,credit_reporting,0.7201,credit_reporting,0.8861,credit_reporting,1.8204,credit_reporting,5.1954,credit_card,7.7845,credit_reporting,16.7755
21,debt_collection,recently obtain copy credit report notice fraudulent activity provide copy ftc report along proof id,credit_reporting,0.7145,credit_reporting,1.4187,credit_reporting,2.4705,credit_reporting,1.9228,credit_reporting,5.627,credit_reporting,0.8049,credit_reporting,0.6813,credit_reporting,0.8025,credit_reporting,0.6795,credit_reporting,0.7754,credit_reporting,1.552,credit_reporting,2.7277,credit_reporting,1.9473,credit_reporting,34.4859
22,credit_card,booked flight using chase ultimate reward point flight cancelled due get refund according department transportation enforcement notice http however chase refused issue refund citing airline policy ignored dot ruling addition chase refused start dispute chargeback behalf stating point transaction way,credit_card,0.6141,credit_card,0.8136,credit_card,1.5261,credit_card,1.8302,credit_card,6.0343,credit_card,0.8046,credit_card,0.8057,credit_card,0.8033,credit_card,0.5968,credit_card,1.0129,credit_card,1.3722,credit_card,4.8969,credit_card,5.567,credit_card,33.1684
23,credit_reporting,noticed hard credit inquiry made credit report greensky installment ga make request allow credit report pulled useless disputing online dispute option inquiry phone line never connect live person,credit_reporting,0.6054,credit_reporting,0.7557,credit_reporting,2.4861,credit_reporting,1.6208,credit_reporting,4.4983,credit_reporting,0.5907,credit_reporting,0.7007,credit_reporting,1.9541,credit_reporting,0.905,credit_reporting,0.8158,credit_reporting,1.3425,credit_reporting,3.0633,credit_reporting,3.0574,credit_reporting,26.5937
24,debt_collection,first progress attempting collect debt credit file longer owed never received notice collection notice debt phone call checked credit noticed debt called immediately paid debt feel like violation day right dispute per fcra given letter prove debt dispute never,debt_collection,0.5811,debt_collection,1.2925,debt_collection,1.9961,debt_collection,1.9311,debt_collection,6.5463,debt_collection,0.6102,debt_collection,0.5861,debt_collection,0.7315,debt_collection,0.8005,debt_collection,0.7861,debt_collection,1.4794,debt_collection,12.9691,debt_collection,3.5638,credit_reporting,57.7332
25,credit_reporting,contacted experian negative inquires credit report customer service able help take care victim inquire issue xxxxxxxx xxxxxxxx thank,credit_reporting,1.0594,credit_reporting,0.7876,credit_reporting,1.5624,credit_reporting,1.6261,credit_reporting,6.2279,credit_reporting,0.8041,credit_reporting,0.6155,credit_reporting,0.7507,credit_reporting,0.5684,credit_reporting,0.7144,credit_reporting,1.4609,credit_reporting,2.8553,credit_reporting,2.3297,credit_reporting,43.0862
26,credit_reporting,requested verification debt credit bureau failed verify debt also failed remove item report notified violation law refuse anything sent credit bureau numerous certified letter return receipt outlining account asking verification responded back verify debt remove,credit_reporting,0.6883,debt_collection,1.321,credit_reporting,1.5781,debt_collection,1.8275,credit_reporting,5.0136,debt_collection,0.7028,debt_collection,0.5963,credit_reporting,0.6527,credit_reporting,0.5818,credit_reporting,1.0057,credit_reporting,1.5229,credit_reporting,3.7682,credit_reporting,3.2548,credit_reporting,23.635
27,credit_card,waiting receive prepaid card waiting since,credit_card,0.6119,credit_card,0.7042,retail_banking,1.8317,credit_card,1.8058,credit_card,15.6599,credit_card,0.6427,credit_card,0.7017,credit_card,0.7379,retail_banking,0.6428,retail_banking,0.904,credit_card,1.5283,retail_banking,4.1527,retail_banking,3.6665,credit_card,37.9699
28,retail_banking,tied sign wont allow connect pnc account,retail_banking,0.7051,retail_banking,1.4003,retail_banking,2.3434,retail_banking,1.2165,retail_banking,4.6576,retail_banking,0.8679,retail_banking,0.6348,retail_banking,0.7124,retail_banking,0.6997,retail_banking,0.8042,retail_banking,1.4618,retail_banking,6.531,retail_banking,2.9594,retail_banking,32.8452
29,retail_banking,received sba grant branch officer wouldnt let access account making wait branch hour half fianc asked hurry hot vehicle officer said would make wont able access account money called supervisor numerous time telling money account nothing bank officer closing account even accessing account,retail_banking,1.0113,retail_banking,0.8316,retail_banking,2.8362,retail_banking,1.9495,retail_banking,11.0984,retail_banking,0.8127,retail_banking,0.8648,retail_banking,0.7011,retail_banking,0.5971,retail_banking,0.8669,retail_banking,1.54,retail_banking,5.2164,retail_banking,3.0443,retail_banking,32.546
30,retail_banking,sent money mother covid suppossed delivered latest got text message money delivered however called mother nothing received bank constantly reaching bank end gave resolution received money also reached gave infor reasearch transaction via never heard back even sending several message reached ceo even sent email phone say service unavailable website say chat email phone service unavailable log send money send money show chat available,retail_banking,0.8124,retail_banking,0.8054,retail_banking,2.0585,retail_banking,1.7229,retail_banking,5.888,retail_banking,0.7939,retail_banking,0.7105,retail_banking,0.7005,retail_banking,0.8011,retail_banking,0.7735,retail_banking,1.6621,retail_banking,2.4273,retail_banking,2.8486,retail_banking,23.5291
31,credit_reporting,recourse see act kindness ascertained consumer financial protection bureau year traveling original country business family matter wife charge family business included paying bill time however mother child lost focus statement attended properly therefore perfect credit history tarnished therefore request member credit reporting agency system give honest review payment history removal late payment disputing current rating asking honest review given every consideration negative payment removal,credit_reporting,0.7055,credit_reporting,0.8114,credit_reporting,2.5822,credit_reporting,1.6311,credit_reporting,5.0542,credit_reporting,0.8061,credit_reporting,0.8217,credit_reporting,0.6681,credit_reporting,0.774,credit_reporting,0.8719,credit_reporting,2.2822,credit_reporting,7.63,credit_reporting,4.0073,credit_reporting,31.4983
32,credit_card,received notice mail bank america closing credit card said lack use fine received notification cancel card good standing without telling received letter card canceled said matter closed unable change said could bank america would make credit check hurt credit bank america closing account also hurt credit,credit_card,1.3282,credit_card,0.8277,credit_card,2.0962,credit_card,1.4148,credit_card,5.0101,credit_card,0.7031,credit_card,0.5851,credit_card,0.6503,credit_card,0.7335,credit_card,0.8989,credit_card,1.8417,credit_card,3.5294,credit_card,2.4891,credit_card,26.8319
33,mortgages_and_loans,see multiple day late mark clear violation right fcra company never responded attempt obtain proof documentation prove account reported accurately,credit_reporting,0.5582,credit_reporting,1.3036,credit_reporting,2.1413,credit_reporting,1.9326,credit_reporting,4.9062,credit_reporting,0.9375,credit_reporting,0.7005,credit_reporting,0.6292,credit_reporting,0.5955,credit_reporting,0.9038,credit_reporting,1.808,credit_reporting,2.5571,credit_reporting,2.0527,credit_reporting,17.2884
34,debt_collection,hello identity stolen result several account opened name well attempt apply credit account noticed thus far following card account number ending well inquiry touch company let know identity theft also filed police report county simply asking account closed permanently removed credit file,credit_reporting,0.683,credit_card,1.1271,credit_reporting,2.1232,credit_reporting,1.6261,credit_reporting,6.0357,credit_card,0.5906,credit_reporting,0.7,credit_reporting,2.0864,credit_reporting,0.7039,credit_reporting,0.8084,credit_reporting,1.3196,credit_reporting,6.0385,credit_reporting,9.8105,credit_reporting,18.9531
35,credit_reporting,check credit report notice thing belong account stopping buying dream house account listed mine sent multiple letter received feedback complaint understand really happening please help,credit_reporting,0.9005,credit_reporting,0.7961,credit_reporting,2.0459,credit_reporting,1.824,credit_reporting,8.1113,credit_reporting,0.7822,credit_reporting,0.6451,credit_reporting,0.804,credit_reporting,0.6083,credit_reporting,1.2332,credit_reporting,1.1938,credit_reporting,3.4846,credit_reporting,2.4373,credit_reporting,31.395
36,credit_card,sent debit card u bank reliacard unsolicited called toll free number told another division handled card transferred immediately hung called told would contact transferred immediately hung,retail_banking,0.6893,retail_banking,0.692,retail_banking,2.3464,retail_banking,1.6259,credit_card,12.9194,credit_card,0.7708,retail_banking,0.6094,credit_card,0.804,retail_banking,0.7874,retail_banking,0.7798,retail_banking,1.4935,retail_banking,3.3597,retail_banking,5.0991,retail_banking,18.4254
