Model,Accuracy,Precision,Recall,F1
gpt_4o,0.736,0.7546,0.736,0.7358
gpt-4.5-preview,0.774,0.7886,0.774,0.7763
gpt-o1,0.777,0.7944,0.777,0.7764
gpt_4o_mini,0.691,0.7026,0.691,0.6933
gpt-o3-mini,0.752,0.7671,0.752,0.7514
claude_3_5_sonnet,0.763,0.7973,0.763,0.7617
claude-3-7-sonnet,0.765,0.7872,0.765,0.7626
claude-3-5-haiku,0.721,0.7287,0.721,0.7227
deepseek-chat,0.737,0.752,0.737,0.7368
gemini-2.0-flash,0.758,0.7661,0.758,0.7586
gemini-2.0-flash-lite,0.742,0.7488,0.742,0.7402
gemini-1.5-pro,0.753,0.7639,0.753,0.7515
gemini-1.5-flash,0.707,0.7358,0.707,0.705
deepseek-reasoner,0.738,0.7565,0.738,0.7382
